//Exported ASCII-File
[Header]
FileName = D:\User\DDBB\Lasse\20251010\LysozymeC and PEG8K standard curve remaining samples.wip
GraphName = Spectrum--062--Spec.Data 1 MQ 10mW
SizeX = 1
SizeY = 1
SizeGraph = 2000
PositionUnit = µm
PositionX = 1654.325
PositionY = -1835.7
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	Spectrum--062--Spec.Data 1 MQ 10mW
rel. 1/cm	CCD cts
-4.54513E+02	 5.57000E+02
-4.51595E+02	 5.60000E+02
-4.48679E+02	 5.51000E+02
-4.45763E+02	 5.61000E+02
-4.42848E+02	 5.51000E+02
-4.39935E+02	 5.61000E+02
-4.37022E+02	 5.60000E+02
-4.34111E+02	 5.72000E+02
-4.31201E+02	 5.60000E+02
-4.28291E+02	 5.59000E+02
-4.25383E+02	 5.74000E+02
-4.22476E+02	 5.53000E+02
-4.19569E+02	 5.66000E+02
-4.16664E+02	 5.64000E+02
-4.13760E+02	 5.63000E+02
-4.10857E+02	 5.65000E+02
-4.07955E+02	 5.74000E+02
-4.05054E+02	 5.64000E+02
-4.02154E+02	 5.64000E+02
-3.99255E+02	 5.66000E+02
-3.96357E+02	 5.61000E+02
-3.93460E+02	 5.67000E+02
-3.90564E+02	 5.71000E+02
-3.87669E+02	 5.73000E+02
-3.84775E+02	 5.61000E+02
-3.81883E+02	 5.73000E+02
-3.78991E+02	 5.70000E+02
-3.76100E+02	 5.69000E+02
-3.73210E+02	 5.81000E+02
-3.70322E+02	 5.65000E+02
-3.67434E+02	 5.72000E+02
-3.64547E+02	 5.60000E+02
-3.61662E+02	 5.90000E+02
-3.58777E+02	 5.58000E+02
-3.55893E+02	 5.68000E+02
-3.53011E+02	 5.61000E+02
-3.50129E+02	 5.80000E+02
-3.47249E+02	 5.69000E+02
-3.44369E+02	 5.80000E+02
-3.41491E+02	 5.78000E+02
-3.38613E+02	 5.77000E+02
-3.35737E+02	 5.82000E+02
-3.32861E+02	 5.87000E+02
-3.29987E+02	 5.87000E+02
-3.27114E+02	 5.72000E+02
-3.24241E+02	 5.91000E+02
-3.21370E+02	 5.71000E+02
-3.18499E+02	 5.72000E+02
-3.15630E+02	 5.81000E+02
-3.12762E+02	 5.94000E+02
-3.09894E+02	 5.85000E+02
-3.07028E+02	 5.79000E+02
-3.04163E+02	 5.74000E+02
-3.01298E+02	 5.89000E+02
-2.98435E+02	 5.81000E+02
-2.95573E+02	 5.91000E+02
-2.92711E+02	 5.79000E+02
-2.89851E+02	 5.90000E+02
-2.86992E+02	 5.90000E+02
-2.84133E+02	 5.73000E+02
-2.81276E+02	 6.03000E+02
-2.78420E+02	 5.96000E+02
-2.75564E+02	 5.98000E+02
-2.72710E+02	 5.92000E+02
-2.69857E+02	 6.12000E+02
-2.67004E+02	 5.93000E+02
-2.64153E+02	 6.07000E+02
-2.61303E+02	 6.09000E+02
-2.58453E+02	 5.93000E+02
-2.55605E+02	 6.07000E+02
-2.52758E+02	 6.05000E+02
-2.49911E+02	 6.10000E+02
-2.47066E+02	 6.14000E+02
-2.44222E+02	 6.27000E+02
-2.41378E+02	 6.20000E+02
-2.38536E+02	 6.21000E+02
-2.35694E+02	 6.23000E+02
-2.32854E+02	 6.13000E+02
-2.30015E+02	 6.44000E+02
-2.27176E+02	 6.37000E+02
-2.24339E+02	 6.59000E+02
-2.21502E+02	 6.26000E+02
-2.18667E+02	 6.50000E+02
-2.15832E+02	 6.52000E+02
-2.12999E+02	 6.51000E+02
-2.10166E+02	 6.67000E+02
-2.07335E+02	 6.89000E+02
-2.04504E+02	 6.97000E+02
-2.01674E+02	 6.94000E+02
-1.98846E+02	 6.84000E+02
-1.96018E+02	 6.87000E+02
-1.93192E+02	 6.92000E+02
-1.90366E+02	 6.86000E+02
-1.87541E+02	 6.92000E+02
-1.84717E+02	 7.11000E+02
-1.81895E+02	 7.04000E+02
-1.79073E+02	 6.99000E+02
-1.76252E+02	 7.15000E+02
-1.73432E+02	 7.17000E+02
-1.70613E+02	 7.46000E+02
-1.67796E+02	 7.26000E+02
-1.64979E+02	 7.41000E+02
-1.62163E+02	 7.39000E+02
-1.59348E+02	 7.56000E+02
-1.56534E+02	 7.73000E+02
-1.53721E+02	 7.69000E+02
-1.50909E+02	 7.36000E+02
-1.48098E+02	 7.46000E+02
-1.45287E+02	 7.51000E+02
-1.42478E+02	 7.66000E+02
-1.39670E+02	 7.70000E+02
-1.36863E+02	 8.09000E+02
-1.34057E+02	 7.86000E+02
-1.31251E+02	 7.94000E+02
-1.28447E+02	 7.92000E+02
-1.25643E+02	 8.19000E+02
-1.22841E+02	 8.23000E+02
-1.20040E+02	 8.08000E+02
-1.17239E+02	 8.39000E+02
-1.14439E+02	 8.48000E+02
-1.11641E+02	 8.56000E+02
-1.08843E+02	 8.56000E+02
-1.06047E+02	 8.91000E+02
-1.03251E+02	 8.81000E+02
-1.00456E+02	 8.74000E+02
-9.76623E+01	 9.10000E+02
-9.48694E+01	 9.39000E+02
-9.20775E+01	 9.22000E+02
-8.92865E+01	 9.57000E+02
-8.64965E+01	 9.45000E+02
-8.37075E+01	 1.00600E+03
-8.09194E+01	 1.00600E+03
-7.81322E+01	 1.07600E+03
-7.53460E+01	 1.07800E+03
-7.25607E+01	 1.11000E+03
-6.97764E+01	 1.11000E+03
-6.69930E+01	 1.15900E+03
-6.42106E+01	 1.22500E+03
-6.14291E+01	 1.22200E+03
-5.86486E+01	 1.25300E+03
-5.58690E+01	 1.28300E+03
-5.30904E+01	 1.33700E+03
-5.03127E+01	 1.41300E+03
-4.75359E+01	 1.45200E+03
-4.47601E+01	 1.48800E+03
-4.19852E+01	 1.56000E+03
-3.92113E+01	 1.66700E+03
-3.64383E+01	 1.70000E+03
-3.36662E+01	 1.73000E+03
-3.08951E+01	 1.90000E+03
-2.81249E+01	 2.04600E+03
-2.53557E+01	 2.19900E+03
-2.25874E+01	 2.38800E+03
-1.98200E+01	 2.55600E+03
